EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,PrivateKey,PublicKey
3427,Muhammad Fauzan, Nur Ilham,20-Sep-19,,Production Technician IT Manager,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance & Accounting,07-10-1969,MA,Accounting,Female,7299,White,Widowed,Fully Meets,4,b1670d33e9f56391ac7818ce6365d6f42eafbe8ce2cfe0752aaadbf4439482ee,64819eea5d481b20acb17306a398abd288f2ac310ddcdd801c44f90baa451fe27405f783a1b9b7294dd96691ff189046fc563ed9310396a0d26fd13853d4fd9c
3428,Paula,Small,11-Feb-23,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Aerial,30-08-1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,d94c3e099e546d899db47bfcd4b85cc98971966073c678400ecbcb82e7d4fad8,15d4008b75bc30e367dc3c4f7d03ca167f46416e2ed03f245cb0187516c047291d58653ccec6c387b2c0c36c3bede4d6e56f71ef06ab6b9bfdf3dc4dc1701042
3429,Edward,Buck,10-Dec-18,,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,06-10-1991,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,5251b75410a1f6bfd612867e63b3fb26ba05a222910a57b6e3934658c4300122,8a1f6a8090d51944687f3bc0f8b8e0bab6cd93e4728fcaa57ab40b98ff312899a6fe9ad447663516907e5ff404d91ac0967e04e530f3907c4fc0eabd3d4d70df
3430,wirayuda,Riordan,21-Jun-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,04-04-1998,ND,Clerk,Male,85,Other,Single,Fully Meets,2,f247290ea8ea6336902c14f320015f404b46753c81da662f69842045a66a1142,a8dc3a545e7705f0e1e238b822152642a38c766467d8af360a50f47f5d064e996d6332ba9fcfa50ad61249edc76df8de6b30dabffae92697e1e3246d65d008b5
3431,pandu,wirayuda,29-Jun-19,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,29-08-1969,FL,Laborer,Female,85,Other,Married,Fully Meets,3,01b40a7df97f6a5203fabc2fff11a455e923d4d02572957b7e03ff5b289f2f05,432c4d2bb380ee18ff50b61175c2257dfde45f3a879a4b6165efce66da38603007de79e53595697e28207b37fadcd41e6f4f3f5a7434c0030e2e9337a06a52d2
3432,Marukk,Fraval,17-Jan-20,,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,03-04-1949,CT,Driver,Male,85,Black,Married,Fully Meets,3,5e6280b1ef728d50b8c553be6d5a3ad8932169aaa44e304bbd034236e610cb39,1cca9d1b67b82fe1dc6619f914b351d386086b326add4b586b606634b3c05b72cf4cee7f85d74eb008fe070057b9b8001b955add003d838868272ee19998f93d
3433,pandu,wirayuda,06-Apr-22,03-Jul-23,manajer,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,01-07-1942,CA,Technician,Female,95,Hispanic,Divorced,Exceeds,4,cb78a53dc8f99bffb91d56537f76c7ce236d984d1afc8675a6737f88c2ce4bef,7d85fb181065de7c43417af51ec3682f529ab38b262d801f82a62915739516536daea167754d859814a77266204aeb185ecb02090f30985d347af54e181fb911
3434,Sharlene,Terry,06-Nov-20,29-Jan-23,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,07-03-1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,f6f93d8cebe819d752ce9f16443b6ef39707f8a09e41a1f92f3d9ae535121c1f,d12837840e90467dae3960c869aea501efe74527e83bcff8c94eee1c2a12df4d50c787b901735dc9f52d549958a85b54f6c981f842bae225f18a9157083ebe63
3435,Jac,McKinzie,18-Aug-18,,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,15-05-1974,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,2f5f764d895da83a8e772bec603d57d3293c028f5fedcaec67afae46e4879a65,28d840df7ed8617d446e8b4935455f4df5329a7c1861e6a9b98e198bd0ab0f5b64d03c9deb022139711c4fd993a4e1630238cb48bf5c89539cc2c9686a104e7f
3436,Joseph,Martins,21-Jan-22,29-Jun-23,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11-11-1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,ed357096c9ff356a421aaf167d8d0412ed5f1e327f7130fbc8e359676ae08b65,fb78b354577961e8969e8fea93f5312ad87ee1bc139004cf6b5f5cb227f5552ba97c259394e9a43640569a587255d440767f3196841d367eac6a05ef6b8b241d
